company,label,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05
PS0000000009,0,6327.14,3528.25,10063.14,9737.88,198437.04,26494.54,15281.66,10321.73,16751.89,204000.72,20002.35,20698.69,14534.15,16573.75,2516.42,229232.7,16036.41,31074.67,20905.61,23838.97,216797.03,28639.24,22393.41,31691.23,19831.38,16995.98,35383.41,21220.22,22432.05,266034.69,23134.04,23839.5,267657.86,25570.39,21274.81,34133.8,18756.85,20988.03,23352.02,266227.74,23630.36,25468.49,23085.59,18104.33,29199.28,269213.06,24105.13,27118.86,21747.65,20494.1,21200.58,304559.52,21509.92,21660.16,21308.02,39736.01,21967.37,306272.83,29969.5,24866.68,19544.74,19761.51,19615.58,46127.61,21950.54,26934.5,322461,26167.4,333247.89,22253.87,24830.85,24276.53,21259.09,19955.92,48734.35,15292.77,338661.2,30326.63,31873.43,31430.32,339577.8,33387.72,23871.23,37637.27,25475.19,51969.38,34697.64,32694.52,34236.16,361356.49,35854.34,33860.75,49462.2,350603,33948.73,42641.54,60,33585.68,60686.41,34416.89,361774.63,44988.41,35906.27,36607.83,377075.93,37292.67,37991.25,47612.55,34356.37,41988.93,41768.56,41170.04,41433.62,41434.27,61586.39,358088.55,50329.57,365516.38,43838.72,49824.25,38185.97,40013.03,42224.53,343482.94,41052.1,41873.06,41943.04,42319.22,50852.48,342297.88,42046.4,49383.81,35571.44,35571.44,36526.9,336021.98,54486.87,37984.67,42057.47,39231.66,47018.89,347889.84,112175.58,114118.39,116197.51,120706.76,26555.04,528232.04,136253.68,122686.31,121571.49,127720.56,128174.02,483240.75,59084.15,96993.59,718897.25,123636.22,199466.52,474652.63,138170.32,126194.2,128534.28,127967.82,135483.47,326409.08,50886.65,138404.4,266286.69,129502.75,131144.74,136985.67,457439.67,131050.61,127551.96,128377.65,150466.33,330184.54,128767.18,267605.32,129680.81,131792,164691.02,121838.05,471806,143139.51,216164.18,131659.08,174180.43,291457.79,70002.09,265600.26,128173.35,276694.32,321664.8,374266.91,782105.56,542243.03,445305.34,508977.17,496332.93,731812.99,539716.53,640129.87,468646.91,477338.59,534404.86,434754.73,54304.42
PS0000000976,0,82178.93,97116.95,99689.47,120477.95,111390.04,98822.06,99987.7,103038.48,99261.43,104776.05,98919.15,107333.53,75248.91,100724.69,101266.29,132061.17,131298.64,81811.93,97989.54,115889.45,140647.36,120581.24,76858.27,142834.25,78837.14,112097.41,149078.42,103165.92,144302.79,84257.83,119855.47,108850.52,127967.74,82124.33,117183.12,155162.46,86194.12,113724.35,116793.13,149188.83,152267,97913.6,118011,115831.7,115107.36,112197.07,116052.01,150763.59,95762.42,114166.13,122001.27,117951.05,130694.31,126548.91,121660.98,117792.6,113587.39,121107.05,125027.92,175912.35,87815.95,160273.4,126588.47,127047.15,145211.18,171663.68,125641.4,129622.53,129245.52,98265.41,171928.42,150901,91858.71,141214.54,130305.2,156600.89,181986.66,143448.89,184217.03,96848,175429.63,123407.01,148075.84,212545.71,98580.81,152622.26,148396.32,150081.1,186713.97,151852.23,162121.03,141501.66,138726.72,159920.3,174218.59,211563.77,101007.31,166255.98,155349.12,158505.55,190439.01,194435.29,224431.04,99449.63,146280.74,155867.85,177807.73,217538.96,96866.45,155798.58,153090.27,152613.48,152341.89,173927.64,206711.82,158119.41,151734.04,145262.76,143521.35,194003.94,85737.78,151422.59,144720.78,137701.42,146785.26,165040.78,170923.71,130607.44,131606.45,137441.41,134664.28,195564.56,86869.66,144585.44,137895.76,132373.56,128412.06,113402,59248.42,55423.45,54915.92,55367.88,55831.73,220795.05,95713.94,149146.39,133642.21,128042.08,135473.02,146623.03,147897.17,125870.11,121382.12,206716.5,146060.79,213746.66,97710.11,139245.98,101848.1,153432.62,143197.29,245176.93,94576.38,127455.87,131656.36,181507.2,144520.95,232394.97,94987.97,106615.88,180341.93,117959.55,154098.06,225939.48,148206.9,141836.72,131744.94,159355.2,177024.01,220403.89,101418.14,126673.35,151081.64,175162.46,219196.87,137958.6,159158.53,127752.87,145171.94,152793.79,152651.43,209720.76,145024.87,133502.21,149831.08,152760.66,155432.6,211075.3,178765.26,178962.73,174269.49,129588.93,166340.57,245874.61,99691.94,140680.68,163731.71,156909.83,137999.33
PS0000001622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20452.44,20241.99,11294.8,9133.77,11179.7,14538.94,28601.9,35527.3,32056.22,36813.64,36782.28,35367.31,24217.2,16021.09,17707.87,13445.84,13531.16,13038.93,24202.65,32130.32,33676.26,34970.89,37073.46,35753.35,31567.18,17399.22,15092.01,14254.16,3894.98,20448.17,34991.8,30098.24,36083.9,36464.75,37818.43,37358,20951.81,26023.53,11795.14,12790.49,10886.45,6083.43,16042.86,34797.05,35042.1,33337.36,36908.77,35779.69,29913.44,24147.04,9080.07,8907.43,10179.92,47475.49,0,26334.92,25307.52,36341.78,33811.06,30913.69,24241.55,29224.84,10813.34,0,30504.6,20886.53,0
PS0000002754,0,51421.47,57355.35,57493.88,55643.06,57937.66,67250.21,60965.01,56618.12,54356.94,58139.78,58751.76,85415.05,42304.21,59803.45,60295.06,79668.77,63280.42,63339.31,61322.09,62842.41,63203.47,64762.51,62625.95,81842.65,64155.25,61993.26,66578.53,77901.39,64131.61,9204.33,68532.17,69769.8,66298.73,65175.79,76762.4,82173.64,67539.7,62536.22,70200.01,66733.29,82613.04,68727.66,67528.58,69150.54,70243.24,69851.74,68590.92,82165.6,75792.39,72492.52,75439.55,70703.44,87275.78,69287.46,73143.83,83592.2,71985.09,72790.78,76861.66,81297.03,73229.34,74889.63,75394.57,79277.44,93025.25,73755.2,82028.6,77299.25,83494.19,86289.27,77609.09,101673.5,86020.31,75622.26,90148.12,88156.19,101537.1,94658.22,78429.15,85571.49,80221.03,93795.3,81875.42,100615.8,86536.2,79817.76,91850.25,82436.29,104875.98,93368.38,87187.97,87581,83878.81,86175.83,88693.57,97228.7,96441.91,88957.64,94443.98,85625.02,111920.88,91991.78,91179.56,99140.24,99546.26,85163,95926.14,106038.83,104171.26,83143.24,96199.83,91524.83,103707.86,94231.44,68551.69,100256.94,78761.57,102730.15,88576.78,109344.61,90210.74,73724.28,90118.43,92766.57,89806.3,93773.66,125338,92640.53,82648.26,76406.68,101646.1,89496.98,90147.7,78902.76,87412.13,98517.01,84397.43,88170.14,94597.16,72225.39,84504.12,91175.35,77445.22,114152.91,90955.52,83336.92,110360.54,95724.09,91201.37,123266.04,115597.75,82480.34,98546.59,111695.24,89165.12,116572.54,82498.41,93648.04,107954.23,82196.47,95064.74,125076.08,83730.98,93664.01,99792.35,105008.7,97425.82,99359.59,89715.68,98955.64,100985.3,95163.42,98261.27,116449.21,98192.14,98453.66,99843.23,111969.5,104904.23,108014.29,102516.01,103984.55,101895.36,99705.87,104804.21,122751.19,101033.85,100442.86,103298.48,111190.62,101163.52,102222.02,100266.28,103295.44,100335.33,99368.65,101426.31,124127.79,109880.87,110226.48,109922.58,109895.35,103434.56,108776.47,117909.26,108316.82,108932.25,119234.47,98254.21
PS0000003169,0,292485.41,233993.73,232533.46,234071.15,244914.63,300411.13,271284.15,224403.41,225458.38,243840.95,252195.92,317062.17,276729.14,252530.64,249753.57,339436.08,271729.85,259643.1,273703.84,245794.78,245855.54,280319.53,294646.23,295216.13,297233.15,286662.06,287569.36,347182.5,292889.32,20992.2,284161.68,257506.84,256575.2,272160.77,322500.38,348655.08,308859.78,307999.55,319649.52,304203.1,382337.63,311262.35,313856.63,290028.52,272286.94,362916.64,319320.08,368251.45,309277.56,309286.59,333422.18,305669.21,400188.55,314789.86,308748.56,290442.09,287016.67,316526.86,368761.23,398398.57,315709.66,335691.29,373934.77,314923.35,412537.6,350272.12,337366.27,338719.59,316931.97,339611.62,381532.31,364451.44,345179.33,358809,342023.31,434107.32,443403.8,378121.08,352107.25,366509.93,295436,346996.64,390782.51,395664.22,353324.35,384917.15,357707.94,355815.11,448388.52,355271.53,365289.35,330185.18,314553.34,346810.32,434829.07,375114.34,372703.5,373927.82,371042.16,385053.44,468663,365771.01,380094.66,332457.2,346002.49,370970.63,420231.03,402242.33,387907.52,369251.51,398166.09,392468.92,396825.21,431817.87,401541.45,329369.88,303553.49,398891.6,361609.71,405966.58,339628.92,367862.79,378333.23,500061.48,405462.96,530236.91,400338.46,377955.36,370196.78,377942,383026.83,383528.53,443845.14,390269.38,390593.94,405072.83,404670.66,446334.08,389696.99,382641.55,383731.55,382328.22,396239.1,418071.68,426921.51,455143.96,402969.18,432406.87,420174.87,457050.5,405423.59,405403.86,399615.71,416324.59,402665.39,424349.86,414631.51,404427.93,402494.46,410814.91,408458.57,569773.28,419240.67,400121.97,400593.41,458951.01,409479.85,410457.25,434680.09,407353.43,404644.63,414588.46,419705.34,552349.25,409928.72,406198.99,446193.88,415688.24,424080.38,426833.16,430594.37,430230.27,427666.35,449657.83,450904.34,575421.93,441235.06,421531.89,419200.37,428529.15,430569.51,447871.86,431346.3,449698.22,448427.57,461145.61,464221.98,590809.38,490442.67,438692.84,437299.03,464921.46,453444.5,506277.14,471013.1,462650.62,461578.9,462457.65,457207.32
PS0000004269,0,24471.55,13016.3,19835.56,22062.88,20097.97,28421.52,30827.03,14440.18,12304.11,26910.05,26617.2,39535.92,22511.84,21527.21,45105.87,44616.27,33307.99,28110.77,26898.18,16612.46,9183.79,29960.53,26136.1,50765.14,30108.9,13645.86,36542.24,31431.8,23181.98,49482.86,47902.11,20693.32,21293.68,41085.56,39762.48,65636.33,24061.21,15483.84,44440.82,49513.44,40975.77,42780.7,39630.21,15267.22,26231.65,45095.37,40215.49,65953.41,26429.11,18478.05,38527.64,52938.2,55369.08,40028.56,36471.41,27788.42,18514.89,41565.56,56751.97,78627.55,28950.2,30526.08,55448.36,68938.34,97001.2,55384.09,54460.68,35060.15,40953.51,62660.11,52344.53,70313.1,21392.9,25691.08,52543.46,48055.27,60746.93,62784.47,50855.75,38166.52,19149.03,34328.45,45212.71,72650.07,26258.78,27596.48,48808.35,45344.5,63570.85,50228.72,53265.7,28446.43,17899.39,48096.92,45119.46,52921.97,37545.78,33088.15,47786.68,46922.98,83025.75,60597.91,42244.34,32693.25,27722.36,48447.24,54591.58,75160.08,28364.07,39919.07,51779.08,53500.64,53097.59,55416.58,45152.1,24600.83,14780.34,51882.11,37206.28,63154.59,38611.04,23822.89,53587.56,75566.12,51584.35,47952.51,67496.42,16695.48,27943.99,42281.4,37518.29,61580.71,43198.58,40596.43,42419.84,42678.94,42440.69,32139.82,43948.48,31713.9,16811.97,35302.95,44662.07,51102.24,25603.36,27052.95,53027.72,58859.49,37866.67,31129.92,30325.4,16607.27,12577.35,34252.71,27829.52,35986.59,14590.28,29709.64,41924.56,45490.21,51918.44,39783.89,34061.68,19914.85,19807.01,26261.19,33249.91,67032.84,19926.54,24592.74,48084.61,43315.34,39339.19,36140.87,39486.42,13852.11,16719.29,35103.52,34746.33,37094.57,21763.92,20799.83,32767.23,40793.28,31328.17,32257.95,35595.07,27081.73,12601.67,39014.99,38025.74,51952.51,30606.88,23572.51,25795.52,41860.54,38576.29,40053.24,33506.58,15793.31,16056.4,32112.76,34021.49,43900.68,22521.38,28424.7,20784.79,29330.94,7783.92
PS0000004940,0,24248.6,28044.94,33640.44,50140.5,35362.99,35301.01,44886.91,35585.11,39498.35,34009.47,50747.04,55802.34,28798.39,59252.41,33293.06,49353.07,67289.64,23900.73,51269.15,62587.76,33049.88,52455.32,49376.98,51998.65,48673.14,45519.78,50417.19,42384.8,54502.98,48606.03,42710.32,51272.4,39683.71,59196.96,34687.55,51409.23,49621.01,22199.04,78636.48,26988.17,73650.9,34430.05,61288.98,49247.58,41687.04,49101.17,63427.07,59158.9,52378.01,44819.31,62735.24,56866.4,49050.09,52843.22,45968.81,45947.84,47531.19,56839.9,55539.28,56104.72,51892.45,52118.64,78463.18,68198.22,47228.03,56235.08,91821.87,38013.45,70796.27,59815.49,59618.05,60095.09,59060.33,57154.85,69343.25,71261.24,69973.62,67351.06,92664.23,40945.83,74440.33,70084.59,73754.64,87131.32,51631.75,69157.83,100459.29,55886.65,73032.86,70942.76,77116.45,66083.7,91402.84,62770.41,74893.66,89268.46,54957.9,85488.06,81192.87,47870.15,87009.65,45911.49,34999.49,30946.17,16242.93,9596.39,18941.28,21370.66,10193.16,15922.29,13265.75,15201.37,7965.52,8976.87,13814.12,10195.07,4753.93,2429.21,1404.18,242.25,233.17,116.19,0,0,0,0,0,10.39,2601.24,2217.13,0,76.38,0,116.71,0,0,0,3143.57,0,0,0,697.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS0000004967,0,8474.45,6819.55,3198.77,12342.4,8614.89,19305.9,6939.41,20.03,4884.27,20841.86,12488.33,8059.62,7752.7,5644.04,11539.1,8617.56,12627.79,16764.17,11133.9,0,5267.31,19004.1,17179.86,6196.8,14600.43,4086.95,11298.76,7601.31,18887.53,31842.69,10992.05,0,8237.04,18867.96,15038.43,7439.57,16428.5,8261.56,12995.92,9316.43,24489.13,35630.62,10607.78,899.1,9200.96,27953.68,21401.45,15435.46,5539.08,12067.3,16905.91,17227.83,27468.8,39106.36,14758.9,535.63,4566.85,28407.62,22237.83,10963.65,15293.91,18992.6,19876.61,15724.33,29092.61,34673.97,20075.78,2761.3,8044.71,41122.12,30195.85,15937.56,17149.78,21867.41,16476.82,13032.86,16444.71,39866.64,24115.93,5582.89,19096.37,48240.09,25382.98,21332.47,8204.4,25819.28,15290.84,24692.5,16453.7,51248.88,19703.5,1544.45,2642.63,33383.25,33867.91,11361.2,13035.55,18472.49,15436.28,15533.39,22431.02,31772.81,27720.52,5267.91,7836.59,37634.24,25653.22,19028.15,5247.12,13391.55,32103.65,14934.71,22622.29,39477.73,30572.2,5838.53,625.52,36271.1,26685.5,15476.3,17317.32,12241.94,20306.8,9859.16,31467.89,31844.36,29455.05,1135.85,2817.32,34068.28,34182.33,12595.41,14656.97,11039.77,19924.72,21020.71,30151.23,38636.99,22592.09,287.44,1460.71,50916.22,26851.17,25352.69,12187.04,13230.8,18595.25,25740.07,30758.76,54506.86,15332.87,5413.75,22535.19,34121.97,45051.97,25908.44,14893.1,14714.48,34019.46,27540.29,34168.54,51358.19,21296.21,6162.39,5198.53,50652.54,36153.69,21653.72,17640.47,19833.02,37553.06,26947.31,40168.78,51158.14,28640.01,2231.27,1679.11,48913.59,35276.89,23288.61,24352.34,32010.82,20983.76,37828.01,37747.87,47428.14,44151.01,2155.19,2580.46,44351.15,36774.28,27098.8,15567.7,15270.55,40906.51,32480.16,34238.39,56114.43,44359.42,1817.17,3100,48256.27,54701.19,24714.31,26168.1,18841.59,23586.75,14955.69,3351.45
PS0000007055,0,14066.63,29836.88,39633.17,26988.4,122011.13,36903.88,76772.58,69873.17,32237.9,30987.22,34681.78,91454.48,19054.44,21742.54,33182.62,36979.93,120171.3,41496.46,39665.49,147275.82,13078.44,30683.1,19917.23,60677.6,12443.49,38692.89,37482.52,23180.53,131199.68,63873.6,75748.15,52989.74,16164.87,48076.79,26329.64,35553.61,64491.12,32138.2,39366.12,53722.39,88680.71,42051.94,101768.62,83985.27,58877.9,45401.01,36253.32,72574.95,27051.12,41932.73,122860.43,43955.29,176253.28,33387.27,43324.03,103750.11,28348.17,25909.03,69628.18,97594.4,30498.58,59836.88,50809.65,79201.61,131366.61,75639.65,118799.16,61452.13,45090.14,38018.36,53812.83,130923.46,18626.98,49908.12,49759.29,34096.26,180262,110037.95,130354.67,31268.97,50084.1,65558.13,42300.88,76052.75,28794.5,29638.28,57586.42,18811.2,174800.54,77759.37,98920.32,59839,48024.03,124415.93,59659.12,78849.09,53713.02,34830.55,48842.65,23787.61,78221.98,63312.41,63764.37,36697.6,19236.91,48126.24,81320.3,49858.53,52227.1,62254.5,87694.79,52686.39,122236.67,85516.98,75804.31,73364.66,37431.89,67302.86,69528.56,112892.48,57177.39,60571.56,76477.94,80784.7,101211.39,93330.49,132527.66,27148.99,48938.94,50498.31,123212.27,38038.75,63552.62,64830.28,167766.35,44967.28,103966.78,68698.54,116224.1,58662.67,55628.42,163421.13,119835.36,211172.15,119160.02,111774.85,172538.14,166484.59,199039.26,234725.26,224095.68,135612.02,164101.04,153359.67,182926.94,210716.18,111639.82,248492.83,204284.61,150241.74,301681.02,157339.1,235981.58,265496.14,162244.02,173611.89,257993.29,197232.74,198135.39,156419.5,338875.98,303227.32,279282.13,235741.9,310674.58,241411.74,165862.91,276268.61,255624.63,217238.69,237420.42,159335.8,331647.75,255806.08,316146.56,237258.63,308228.95,303154.48,167415.12,315723.42,253768.47,380175.21,232533.93,172691.34,351668.08,271131.15,379286.73,214537.69,451270.04,200501.14,328697.84,265866.33,269030.38,272418.54,255887.14,191328.89,326294.38,267515.26,174645.38
PS0000007767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100497.42,99135.18,67138.25,47072.95,100349.91,77798.7,80884.98,72450.41,76889.17,48850.48,110928.95,84601.76,51364.86,124050.33,78512.37,64662.25,115249.12,93883.16,52350.12,121101.9,87045.75,81161.76,72097.15,103090.79,89587.2,106234.19,70193.61,95879.2,127371.9,116460.95,102757.75,103202.47,103865.48,94113.6,113893.17,121846.56,104655.03,119981.47,128409.8,77310.79,140091.61,126835.3,112786.33,117050,78407.6,118177.28,100274.34,72534.37,145773.23,74939.14,170197.79,68909.59,142571.31,125808.36,96117.85,67558.02,163315.62,101509.53,55258.29,149861.47,106390.72,37718.31,191942.9,74823.71,108801.95,160118.11,117363.63,73368.41,161057.99,131333.87,117083.95,123865.35,119839.12,119392.57,118716.86,80452.65,165489.15,125529.67,124840.68,110124.06,108860.65,76459.56,160434.1,121516.53,79581.94,172128.82,122437.13,70877.44,175491.03,120041.48,108013.11,224787.93,138979.1,169625.24,162377.81,79061.12,151558.99,175243.76,58991.73,187158.9,163825.87,90216.05,204805.87,164031.6,119165.04,209933.18,139540.4,141955.25,171541.78,187129.81,212233.96,126581.45,206370.83,142840.64,195815.5,214642.47,177991.77,206388.61,113708.41,268031.99,174951,203606.98,193146.1,181455.95,243189.29,234675.11,183210.87,158474.27,231647.56,211791.72,158945.88,201694.06,211019.52,225902.9,193209.42,159386.03,213757.55,317826.15,197899.9,149399.04,240114.57,228778.51,172155.27,196419.39,199115.77,99692.89,353513.01,152015.14,209032.86,295351.49,100927.05
PS0000008279,0,35648.7,43497.27,46102.03,19678.21,46462.65,48887.58,23622.09,27901.96,27370.67,11794.38,15848.6,33157.39,42979.65,38662.04,49635.83,31614.34,33266.21,62535.64,37658.7,32653.37,32384.83,12831.29,22235.67,33482.38,54679.13,41806.04,40813.85,90695.37,49929.36,56677.67,44470.88,75658.83,32719.27,34558.96,11256.57,36829.82,62360.73,42069.17,41330.8,54882.22,51862.34,56412.9,50971.91,32356.74,18757.76,31139.26,43813.29,48331.96,49688.96,85781.63,60053.21,54670.91,51586.4,56993.19,60754.01,25782.78,46982.7,46238.78,36507.83,48535,71552.07,50086.77,38735.86,63317.38,52244.81,60907.45,68444.2,51736.99,22592.73,78591.52,65201.12,88073.93,54035.72,61766.8,75965.11,57645.6,83852.39,76484.14,85377.16,58652.06,39173.86,55751.95,79221.41,89575.03,67243.6,78526.59,102474.77,67159.7,77094.81,93500.26,97319.62,75770.63,16786.2,45388.82,49618.43,70746.61,78931.9,38705.45,85239.13,69488.27,86026.59,77730.07,70483.87,57606.39,1127.4,53094.64,52648.29,70739.94,54130.4,42318.17,75918.53,56246.93,55991.53,56942.5,41173.15,14199.32,8472.7,77787.42,32192.44,47954.34,68040.02,7020.06,105996.26,19370.36,24432.51,32611.09,81736.3,32106.39,20688.55,76550.36,72366.38,152339.62,76927.37,72630.44,135735.35,92072,126660.38,112579.39,130504.28,59567.65,24642.91,52476.96,131399.34,115712.72,128738.36,105222.06,110447.44,104423.94,124436.73,122073.24,122579.89,67928.79,28539.67,34644.35,169024.99,98901.66,122010.73,66038.98,128131.9,90240.24,102349.73,115416.71,120194.94,33659.06,22106.87,32185.08,120769.49,130866.04,106039.77,93255.72,171926.99,92848.06,139645.63,125078.93,166383.68,46548.91,27202.41,32990.09,108374.66,105382.56,132254.07,83079.26,152839.51,102868.21,138084.44,112783.62,128190.59,63838.12,31131.01,40350.88,122570.69,153127.86,76886.65,98050.37,137932.21,172254.86,161032.54,83075.74,191183.8,49860.85,36384.38,45957.46,166383.51,127855.51,112149.6,160744.06,130490.03,155537.73,12356.7
PS0000009666,0,0,8345.85,0,0,0,7928.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001.5,1001.5,0,0,0,0,0,5257.89,751.13,7511.27,12458.22,11462,3254.88,9013.52,6237.03,7511.27,0,0,3755.63,2628.94,12769.15,0,17025.54,12769.15,16900.35,0,28945.35,0,0,0,0,4788,0,350,0,0,0,7800,11880,3100,960,648,858.6,2025,0,0,0,480,3168,7800,23700,0,0,0,19126.2,8100,0,35580,7200,0,0,28016.94,24120,0,0,2592,18147.26,0,0,4521.84,0,0,11037.85,0,5458.83,0,0,1944,17102.28,0,0,11790.12,0,0,0,44379,17868.48,0,10846.5,24022.8,21074.92,33876.34,900,26016,1920,255.77,121925.83,8010,15707.78,1200,1848,1560,750,0,0,0,0,4926,108970.4,3120,600,0,5518.8,0,55606.4,3000,3972,8800,0,6972,5725.68,2005.68,4795.68,1417.64,0,658.8,24561.04,0,3513.6,18580.72,4919.04,620,32749.68,16367.76,5124,5077.64,2854.8,8176.44,2745,4796.31,2764.17,2764.15,13870.53,2794,4245.8,4858.92,1322.07,6058.67,3983.82,9219.1,7526.67,27164.23,2912.4,2818.53,1720.53,6171.08,5285.37,26432.15,30026.7,24979.83,12612.56,15737.57,9379.33,7542.37,11958.05,27769.31,2987.2,1816,16924.48,3250.72,9990,5832,21226.39,4871.67,29030.91,10000,21707.8,4436.39,7617.08,3135.4,15982,7479.82,5143.6,13712.19,26603.32,24811.47,3317.16,0
PS0000011334,0,1942.16,1198.21,3326.99,864.9,1739.79,2120.93,1043.24,1524.69,29378.82,12453.14,5562.93,2417.89,2541.81,1504.01,1409.16,624.59,717.74,4777.72,7852.37,510.52,21716.02,15017.53,3976.31,3816.02,1212.97,1816.52,1379.07,3668.85,3927.64,3173.21,1510.62,1095.22,29676.4,16454.61,5408.72,5145.04,1822.38,2415.31,3152.63,1059.61,3248.95,1382.04,1804.73,582.9,28998.87,15130.52,4732.72,3197.57,1075.83,2032.05,2817.29,1582.41,4017.36,2355.81,1081.15,2014.97,30483.82,21619.16,4573.26,3278.84,848.55,2460.59,3358.94,3207.84,2438.21,2452.3,1107.37,478.84,34122.56,28237.02,11203.1,4161.79,2127.99,4706.4,4370.18,17238.1,12646.17,10738.76,35303.6,1789.89,29419.05,29184.68,8919.34,33795.91,5232.91,29777.74,8363.28,15308.04,4111.51,8942.78,6696.1,4866.49,30173.05,31174.23,11738.55,10834.86,19598.69,12817.3,9394.25,6247.74,4096.88,4501.82,14019.35,6009.3,34221.11,29534.01,11008.64,9046.07,17155.89,15509.71,4744.24,3710.5,2136.46,2374,2722.48,11527.69,39706.61,54925.07,19469.31,13342.44,9784.92,12445.47,16944.06,14569.11,15987.95,13319.36,15409.14,10812.53,32784.06,54735.36,20915.32,14648.76,17808.44,11101.52,18684.03,15190.71,12958.7,13273.63,12695.91,11727.58,35019.54,79061.85,25575.7,33752.61,33324.16,22814.85,54557.51,32807.84,21680.05,26338.38,32116.71,21675.43,41756.48,71424.52,36834.64,37134.24,26008.1,36066.26,29143.28,29868.83,33219.28,18543.27,34766.05,30767.53,55381.84,72613.74,36014.34,41913.04,28454.84,31757.27,38046.84,33827.33,29747.48,28012.23,34715.67,27294.21,41761.9,66545.17,47060.95,43585.5,27018.64,42443.38,41054.44,38392.24,33309.83,26715,36627.03,33372.61,40845.21,70142.93,64906.22,60919.52,39681.67,35778.53,47019.14,46619.05,33273.06,32702.7,44000.55,35786.87,49863.55,76848.43,54651.38,62220.13,53044.82,31565.7,61391.46,40564.37,7881.46
